Cliente,CNPJ,Produto,Qtd,Dt Emissao,Data Faturamento
W.SP LOGISTICA,11247454000188,014814,200.0,20250311,20250311
MB DISTRIBUIDORA,06752049000268,014814,10.0,20250107,20250108
W.SP LOGISTICA,11247454000188,014814,20.0,20250204,20250204
W. NORDESTE,22101582000135,014814,70.0,20250210,20250217
W SUL DIST E IMP DE,08111865000137,014814,10.0,20250107,20250116
W.SP LOGISTICA,11247454000188,014814,600.0,20250210,20250214
W.CO LOGISTICA EM DU,19246547000108,014814,10.0,20250107,20250114
W. NORTE,51050054000364,014814,10.0,20250107,20250114
W.SP LOGISTICA,11247454000188,014814,10.0,20250109,20250110
LM MOTO,70963418000341,014828,50.0,20250228,20250306
W. NORDESTE,22101582000135,014828,50.0,20250228,20250312
W.CO LOGISTICA EM DU,19246547000108,014828,50.0,20250403,        
W.CO LOGISTICA EM DU,19246547000108,014828,50.0,20250403,        
W. NORDESTE,22101582000135,014828,50.0,20250305,20250320
W.CO LOGISTICA EM DU,19246547000108,014828,50.0,20250403,        
W.SP LOGISTICA,11247454000188,014828,250.0,20250228,20250321
MB DISTRIBUIDORA,06752049000268,014828,50.0,20250228,20250306
LM MOTO,70963418000341,014831,50.0,20250228,20250306
W.SP LOGISTICA,11247454000188,014831,100.0,20250228,20250321
MB DISTRIBUIDORA,06752049000268,014831,50.0,20250228,20250306
LM MOTO,70963418000341,014870,6.0,20250324,20250402
MB DISTRIBUIDORA,06752049000268,014870,6.0,20250107,20250130
W. NORTE,51050054000364,014967,10.0,20250109,20250114
W. NORTE,51050054000364,014967,12.0,20250130,20250228
W SUL DIST E IMP DE,08111865000137,014967,5.0,20250109,20250116
W. NORTE,51050054000364,014968,50.0,20250107,20250114
W SUL DIST E IMP DE,08111865000137,015130,20.0,20250117,20250128
W.SP LOGISTICA,11247454000188,015130,10.0,20250204,20250204
W.SP LOGISTICA,11247454000188,015141,10.0,20250117,20250124
W SUL DIST E IMP DE,08111865000137,015141,10.0,20250307,20250314
W SUL DIST E IMP DE,08111865000137,015141,20.0,20250117,20250128
W.SP LOGISTICA,11247454000188,015141,10.0,20250204,20250204
W.SP LOGISTICA,11247454000188,015154,10.0,20250117,20250124
MB DISTRIBUIDORA,06752049000268,015160,15.0,20250107,20250108
W SUL DIST E IMP DE,08111865000137,015258,5.0,20250116,20250128
W SUL DIST E IMP DE,08111865000137,015258,10.0,20250130,20250218
W.SP LOGISTICA,11247454000188,015260,1.0,20250107,20250110
WCENTRAL DE CALL CEN,17749175000107,015269,1.0,20250328,        
LM MOTO,70963418000341,015269,5.0,20250331,20250402
W.SP LOGISTICA,11247454000188,015269,10.0,20250331,        
MB DISTRIBUIDORA,06752049000268,015269,5.0,20250331,20250331
MB DISTRIBUIDORA,06752049000268,015269,5.0,20250331,20250331
W.CO LOGISTICA EM DU,19246547000108,015269,5.0,20250331,        
W SUL DIST E IMP DE,08111865000137,015269,5.0,20250331,20250331
W.SP LOGISTICA,11247454000188,015269,5.0,20250331,        
W SUL DIST E IMP DE,08111865000137,015269,10.0,20250331,        
W.CO LOGISTICA EM DU,19246547000108,015269,5.0,20250331,        
W.CO LOGISTICA EM DU,19246547000108,015289,400.0,20250107,20250114
W.CO LOGISTICA EM DU,19246547000108,015289,500.0,20250305,        
W.CO LOGISTICA EM DU,19246547000108,015289,600.0,20250228,20250318
W SUL DIST E IMP DE,08111865000137,015289,100.0,20250107,20250116
W. NORDESTE,22101582000135,015289,500.0,20250228,20250312
MB DISTRIBUIDORA,06752049000268,015289,400.0,20250228,20250306
W.CO LOGISTICA EM DU,19246547000108,015289,1700.0,20250403,        
W SUL DIST E IMP DE,08111865000137,015289,200.0,20250228,20250307
W SUL DIST E IMP DE,08111865000137,015289,200.0,20250228,20250307
W.SP LOGISTICA,11247454000188,015289,1600.0,20250228,20250311
W.CO LOGISTICA EM DU,19246547000108,015289,400.0,20250403,        
W.CO LOGISTICA EM DU,19246547000108,015289,1700.0,20250403,        
W.CO LOGISTICA EM DU,19246547000108,015289,1700.0,20250403,        
W. NORDESTE,22101582000135,015289,500.0,20250305,20250320
LM MOTO,70963418000341,015302,100.0,20250228,20250306
MB DISTRIBUIDORA,06752049000268,015302,30.0,20250110,20250114
MB DISTRIBUIDORA,06752049000268,015302,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,015302,200.0,20250228,20250321
W.SP LOGISTICA,11247454000188,015302,100.0,20250228,20250311
W. NORDESTE,22101582000135,015306,10.0,20250110,20250116
W. NORTE,51050054000364,015306,20.0,20250130,20250228
W. NORDESTE,22101582000135,013601,100.0,20250107,20250116
W.CO LOGISTICA EM DU,19246547000108,013601,100.0,20250228,20250318
W.CO LOGISTICA EM DU,19246547000108,013601,100.0,20250403,        
LM MOTO,70963418000341,013601,100.0,20250204,20250211
LM MOTO,70963418000341,013601,100.0,20250324,20250402
W. NORDESTE,22101582000135,013601,300.0,20250228,20250312
MB DISTRIBUIDORA,06752049000268,013601,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013601,200.0,20250204,20250214
W. NORDESTE,22101582000135,013601,300.0,20250305,20250320
W.SP LOGISTICA,11247454000188,013601,500.0,20250228,20250321
MB DISTRIBUIDORA,06752049000268,013601,100.0,20250107,20250108
W.SP LOGISTICA,11247454000188,013601,400.0,20250228,20250311
MB DISTRIBUIDORA,06752049000268,013601,200.0,20250228,20250306
WCENTRAL DE CALL CEN,17749175000107,013720,36.0,20250328,        
W.SP LOGISTICA,11247454000188,013720,10.0,20250107,20250110
LM MOTO,70963418000341,013720,5.0,20250122,20250124
W.SP LOGISTICA,11247454000188,013720,25.0,20250331,        
MB DISTRIBUIDORA,06752049000268,013720,5.0,20250331,20250331
MB DISTRIBUIDORA,06752049000268,013720,10.0,20250331,20250331
W SUL DIST E IMP DE,08111865000137,013720,5.0,20250331,20250331
W.SP LOGISTICA,11247454000188,013720,15.0,20250331,        
W SUL DIST E IMP DE,08111865000137,013720,5.0,20250122,20250128
W SUL DIST E IMP DE,08111865000137,013720,5.0,20250307,20250314
W.CO LOGISTICA EM DU,19246547000108,013720,5.0,20250331,        
LM MOTO,70963418000341,013720,5.0,20250331,20250402
W.CO LOGISTICA EM DU,19246547000108,013720,10.0,20250331,        
W SUL DIST E IMP DE,08111865000137,013720,5.0,20250331,        
W. NORDESTE,22101582000135,013720,10.0,20250331,        
W.SP LOGISTICA,11247454000188,016019,10.0,20250107,20250110
W SUL DIST E IMP DE,08111865000137,016019,10.0,20250307,20250314
W.SP LOGISTICA,11247454000188,016019,10.0,20250109,20250110
W.SP LOGISTICA,11247454000188,016019,10.0,20250204,20250214
W.SP LOGISTICA,11247454000188,016019,10.0,20250122,20250124
W SUL DIST E IMP DE,08111865000137,014455,20.0,20250115,20250116
W SUL DIST E IMP DE,08111865000137,014456,20.0,20250107,20250116
LM MOTO,70963418000341,014522,6.0,20250107,20250204
MB DISTRIBUIDORA,06752049000268,014522,6.0,20250129,20250130
LM MOTO,70963418000341,014538,6.0,20250107,20250204
MB DISTRIBUIDORA,06752049000268,014538,6.0,20250107,20250130
W. NORDESTE,22101582000135,014675,1.0,20250109,20250116
W SUL DIST E IMP DE,08111865000137,014675,2.0,20250116,20250128
W SUL DIST E IMP DE,08111865000137,014675,1.0,20250306,20250307
LM MOTO,70963418000341,014680,4.0,20250107,20250211
W.CO LOGISTICA EM DU,19246547000108,014723,1.0,20250314,20250318
LM MOTO,70963418000341,014723,1.0,20250107,20250110
W.CO LOGISTICA EM DU,19246547000108,014723,5.0,20250403,        
W SUL DIST E IMP DE,08111865000137,014723,4.0,20250107,20250116
LM MOTO,70963418000341,014723,5.0,20250109,20250124
W.SP LOGISTICA,11247454000188,014723,10.0,20250109,20250110
W SUL DIST E IMP DE,08111865000137,014723,5.0,20250115,20250116
W.SP LOGISTICA,11247454000188,014765,40.0,20250311,20250311
W.SP LOGISTICA,11247454000188,014765,40.0,20250311,20250311
MB DISTRIBUIDORA,06752049000268,014765,40.0,20250107,20250108
WCENTRAL DE CALL CEN,17749175000107,014774,3.0,20250328,        
LM MOTO,70963418000341,014774,5.0,20250331,20250402
W SUL DIST E IMP DE,08111865000137,014774,5.0,20250107,20250116
W.SP LOGISTICA,11247454000188,014774,10.0,20250331,        
MB DISTRIBUIDORA,06752049000268,014774,5.0,20250331,20250331
W SUL DIST E IMP DE,08111865000137,014774,5.0,20250331,        
W.SP LOGISTICA,11247454000188,014774,5.0,20250221,20250311
W.CO LOGISTICA EM DU,19246547000108,014774,5.0,20250331,        
W.SP LOGISTICA,11247454000188,014774,5.0,20250331,        
W.SP LOGISTICA,11247454000188,014792,10.0,20250204,20250214
W.SP LOGISTICA,11247454000188,014794,10.0,20250204,20250204
W.CO LOGISTICA EM DU,19246547000108,014803,50.0,20250207,20250219
W.SP LOGISTICA,11247454000188,014803,600.0,20250207,20250214
W. NORDESTE,22101582000135,014803,300.0,20250207,20250210
MB DISTRIBUIDORA,06752049000268,014803,300.0,20250207,20250211
W SUL DIST E IMP DE,08111865000137,014803,50.0,20250207,20250218
W SUL DIST E IMP DE,08111865000137,014803,300.0,20250312,        
W SUL DIST E IMP DE,08111865000137,014803,50.0,20250306,20250307
W.SP LOGISTICA,11247454000188,014810,97.0,20250117,20250124
W.SP LOGISTICA,11247454000188,014810,200.0,20250116,20250124
W.SP LOGISTICA,11247454000188,014810,10.0,20250107,20250110
W. NORDESTE,22101582000135,014810,20.0,20250107,20250116
W. NORDESTE,22101582000135,014810,30.0,20250210,20250217
W. NORDESTE,22101582000135,014810,10.0,20250113,20250116
MB DISTRIBUIDORA,06752049000268,014810,60.0,20250210,20250217
W SUL DIST E IMP DE,08111865000137,014810,60.0,20250210,20250218
W. NORTE,51050054000364,014810,10.0,20250107,20250114
MB DISTRIBUIDORA,06752049000268,014718,4.0,20250107,20250108
W.SP LOGISTICA,11247454000188,014726,75.0,20250324,20250328
W SUL DIST E IMP DE,08111865000137,014726,6.0,20250324,20250331
W.SP LOGISTICA,11247454000188,014726,15.0,20250324,20250328
MB DISTRIBUIDORA,06752049000268,014726,20.0,20250324,20250327
W SUL DIST E IMP DE,08111865000137,014726,2.0,20250324,20250331
LM MOTO,70963418000341,014726,11.0,20250324,20250325
W.CO LOGISTICA EM DU,19246547000108,014726,10.0,20250324,20250327
W. NORTE,51050054000364,014726,1.0,20250324,20250403
W. NORTE,51050054000364,014726,2.0,20250324,20250403
W.CO LOGISTICA EM DU,19246547000108,014726,3.0,20250324,20250327
LM MOTO,70963418000341,014726,3.0,20250324,20250402
W. NORDESTE,22101582000135,014726,4.0,20250324,20250328
W. NORDESTE,22101582000135,014726,2.0,20250324,20250328
W.SP LOGISTICA,11247454000188,014768,40.0,20250311,20250311
W.SP LOGISTICA,11247454000188,014768,40.0,20250311,20250311
MB DISTRIBUIDORA,06752049000268,014768,40.0,20250311,20250311
W SUL DIST E IMP DE,08111865000137,014776,10.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,014876,6.0,20250107,20250218
LM MOTO,70963418000341,014879,6.0,20250107,20250204
W. NORDESTE,22101582000135,014971,50.0,20250312,20250312
W. NORTE,51050054000364,014971,50.0,20250107,20250114
W.SP LOGISTICA,11247454000188,015136,10.0,20250204,20250204
W.CO LOGISTICA EM DU,19246547000108,015136,10.0,20250117,20250127
W SUL DIST E IMP DE,08111865000137,015136,10.0,20250117,20250128
MB DISTRIBUIDORA,06752049000268,015162,4.0,20250110,20250114
W SUL DIST E IMP DE,08111865000137,015223,5.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,015248,10.0,20250307,20250314
W.CO LOGISTICA EM DU,19246547000108,015248,10.0,20250107,20250114
W.CO LOGISTICA EM DU,19246547000108,015256,10.0,20250219,20250227
LM MOTO,70963418000341,015256,10.0,20250220,20250221
W SUL DIST E IMP DE,08111865000137,015256,10.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015256,10.0,20250220,20250221
W.CO LOGISTICA EM DU,19246547000108,015256,10.0,20250220,        
W. NORTE,51050054000364,015256,10.0,20250220,20250228
MB DISTRIBUIDORA,06752049000268,015256,10.0,20250220,20250220
MB DISTRIBUIDORA,06752049000268,015256,10.0,20250220,20250224
W SUL DIST E IMP DE,08111865000137,015256,10.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015262,20.0,20250107,20250110
LM MOTO,70963418000341,015262,10.0,20250107,20250110
W. NORDESTE,22101582000135,015262,10.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,015262,10.0,20250107,20250116
W.SP LOGISTICA,11247454000188,015262,10.0,20250124,20250204
W.SP LOGISTICA,11247454000188,015262,20.0,20250122,20250124
W.SP LOGISTICA,11247454000188,015267,70.0,20250107,20250110
LM MOTO,70963418000341,015267,10.0,20250107,20250110
W SUL DIST E IMP DE,08111865000137,015267,20.0,20250107,20250116
LM MOTO,70963418000341,015272,5.0,20250331,20250402
LM MOTO,70963418000341,015272,5.0,20250331,20250402
W.CO LOGISTICA EM DU,19246547000108,015272,5.0,20250331,        
W SUL DIST E IMP DE,08111865000137,015272,5.0,20250331,        
W.CO LOGISTICA EM DU,19246547000108,015272,5.0,20250331,        
W SUL DIST E IMP DE,08111865000137,015272,10.0,20250331,20250331
W.SP LOGISTICA,11247454000188,015272,10.0,20250331,        
W.SP LOGISTICA,11247454000188,015272,5.0,20250331,        
MB DISTRIBUIDORA,06752049000268,015272,10.0,20250331,20250331
MB DISTRIBUIDORA,06752049000268,015272,10.0,20250331,20250331
W SUL DIST E IMP DE,08111865000137,015282,50.0,20250130,20250218
MB DISTRIBUIDORA,06752049000268,015282,20.0,20250130,20250203
LM MOTO,70963418000341,015291,100.0,20250228,20250306
W.CO LOGISTICA EM DU,19246547000108,015291,200.0,20250228,20250318
W.CO LOGISTICA EM DU,19246547000108,015291,300.0,20250228,20250318
W.CO LOGISTICA EM DU,19246547000108,015291,100.0,20250403,        
W.CO LOGISTICA EM DU,19246547000108,015291,500.0,20250403,        
W.CO LOGISTICA EM DU,19246547000108,015291,500.0,20250403,        
W.CO LOGISTICA EM DU,19246547000108,015291,500.0,20250403,        
MB DISTRIBUIDORA,06752049000268,015291,500.0,20250228,20250306
W SUL DIST E IMP DE,08111865000137,015291,300.0,20250228,20250307
W.SP LOGISTICA,11247454000188,015291,500.0,20250228,20250311
MB DISTRIBUIDORA,06752049000268,015291,200.0,20250228,20250306
W. NORDESTE,22101582000135,015291,600.0,20250228,20250312
W. NORDESTE,22101582000135,015291,100.0,20250305,20250320
LM MOTO,70963418000341,015291,300.0,20250228,20250306
W SUL DIST E IMP DE,08111865000137,015291,200.0,20250228,20250307
W.SP LOGISTICA,11247454000188,015291,200.0,20250228,20250321
W SUL DIST E IMP DE,08111865000137,015291,100.0,20250312,        
LM MOTO,70963418000341,015298,300.0,20250228,20250306
W. NORDESTE,22101582000135,015298,900.0,20250228,20250312
LM MOTO,70963418000341,015298,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,015298,2200.0,20250228,20250321
W SUL DIST E IMP DE,08111865000137,015298,100.0,20250312,        
W. NORDESTE,22101582000135,015332,30.0,20250220,20250224
MB DISTRIBUIDORA,06752049000268,015332,20.0,20250220,20250220
MB DISTRIBUIDORA,06752049000268,015332,60.0,20250220,20250224
W SUL DIST E IMP DE,08111865000137,015332,10.0,20250220,20250221
W SUL DIST E IMP DE,08111865000137,015332,10.0,20250220,20250221
LM MOTO,70963418000341,015332,10.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015332,30.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015332,70.0,20250220,20250221
W.CO LOGISTICA EM DU,19246547000108,015332,20.0,20250220,        
W. NORTE,51050054000364,015332,0.0,20250220,        
W.CO LOGISTICA EM DU,19246547000108,015332,10.0,20250219,20250219
W.CO LOGISTICA EM DU,19246547000108,015332,20.0,20250219,20250227
W.CO LOGISTICA EM DU,19246547000108,015332,10.0,20250220,        
LM MOTO,70963418000341,015332,20.0,20250220,20250221
W. NORDESTE,22101582000135,015332,80.0,20250220,20250224
W. NORTE,51050054000364,015505,5.0,20250117,20250128
LM MOTO,70963418000341,015510,6.0,20250122,20250204
MB DISTRIBUIDORA,06752049000268,015510,6.0,20250314,20250320
W. NORTE,51050054000364,015529,6.0,20250130,20250228
W.CO LOGISTICA EM DU,19246547000108,015538,84.0,20250124,20250219
LM MOTO,70963418000341,015538,12.0,20250124,20250211
LM MOTO,70963418000341,015538,6.0,20250328,        
W. NORDESTE,22101582000135,015538,12.0,20250124,20250210
MB DISTRIBUIDORA,06752049000268,015538,18.0,20250124,20250320
W SUL DIST E IMP DE,08111865000137,015538,102.0,20250306,20250307
MB DISTRIBUIDORA,06752049000268,015538,12.0,20250314,20250320
MB DISTRIBUIDORA,06752049000268,015538,6.0,20250328,20250401
W.SP LOGISTICA,11247454000188,015538,84.0,20250124,20250214
LM MOTO,70963418000341,015538,18.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015538,18.0,20250312,20250314
W SUL DIST E IMP DE,08111865000137,015538,102.0,20250124,20250218
W. NORTE,51050054000364,015538,6.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015538,54.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015538,204.0,20250328,        
W. NORDESTE,22101582000135,015538,6.0,20250319,20250328
W.CO LOGISTICA EM DU,19246547000108,015558,12.0,20250124,20250219
MB DISTRIBUIDORA,06752049000268,015558,6.0,20250314,20250320
W.SP LOGISTICA,11247454000188,015558,36.0,20250124,20250214
LM MOTO,70963418000341,015558,6.0,20250328,        
MB DISTRIBUIDORA,06752049000268,015558,54.0,20250124,20250320
LM MOTO,70963418000341,015558,6.0,20250124,20250211
LM MOTO,70963418000341,015558,6.0,20250328,        
W. NORDESTE,22101582000135,015558,18.0,20250124,20250210
W. NORTE,51050054000364,015558,6.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015558,6.0,20250328,        
W. NORTE,51050054000364,015559,18.0,20250117,20250128
LM MOTO,70963418000341,015562,18.0,20250107,20250211
W. NORTE,51050054000364,015562,6.0,20250107,        
W SUL DIST E IMP DE,08111865000137,015562,6.0,20250107,20250218
W. NORDESTE,22101582000135,015562,6.0,20250107,20250210
W.CO LOGISTICA EM DU,19246547000108,015569,6.0,20250328,        
W.CO LOGISTICA EM DU,19246547000108,015569,6.0,20250328,        
W. NORTE,51050054000364,015569,6.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015569,6.0,20250328,        
MB DISTRIBUIDORA,06752049000268,015569,6.0,20250328,20250401
W.SP LOGISTICA,11247454000188,015569,6.0,20250328,        
W.CO LOGISTICA EM DU,19246547000108,015577,12.0,20250124,20250219
LM MOTO,70963418000341,015577,42.0,20250124,20250211
W. NORDESTE,22101582000135,015577,6.0,20250124,20250210
W.CO LOGISTICA EM DU,19246547000108,015577,6.0,20250122,        
W. NORTE,51050054000364,015577,6.0,20250328,        
W.SP LOGISTICA,11247454000188,015577,6.0,20250328,        
W.SP LOGISTICA,11247454000188,015577,6.0,20250124,20250214
LM MOTO,70963418000341,015577,18.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015577,12.0,20250124,20250218
MB DISTRIBUIDORA,06752049000268,015577,48.0,20250124,20250320
W SUL DIST E IMP DE,08111865000137,015605,10.0,20250306,20250307
W SUL DIST E IMP DE,08111865000137,015605,10.0,20250307,20250314
W.SP LOGISTICA,11247454000188,013884,404.0,20250324,20250328
LM MOTO,70963418000341,013290,100.0,20250228,20250306
W. NORTE,51050054000364,013290,100.0,20250107,20250114
W.SP LOGISTICA,11247454000188,013290,200.0,20250228,20250321
MB DISTRIBUIDORA,06752049000268,013290,100.0,20250228,20250306
LM MOTO,70963418000341,013476,5.0,20250122,20250124
LM MOTO,70963418000341,013476,6.0,20250107,20250110
W SUL DIST E IMP DE,08111865000137,013476,1.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,013476,15.0,20250115,20250116
W SUL DIST E IMP DE,08111865000137,013476,10.0,20250115,20250116
W. NORDESTE,22101582000135,013502,50.0,20250207,20250210
MB DISTRIBUIDORA,06752049000268,013502,50.0,20250207,20250211
W.SP LOGISTICA,11247454000188,015504,6.0,20250204,        
MB DISTRIBUIDORA,06752049000268,015504,6.0,20250130,20250203
W.CO LOGISTICA EM DU,19246547000108,015506,12.0,20250121,20250219
W.SP LOGISTICA,11247454000188,015506,6.0,20250328,        
MB DISTRIBUIDORA,06752049000268,015506,12.0,20250124,20250130
W. NORTE,51050054000364,015506,6.0,20250306,20250306
W SUL DIST E IMP DE,08111865000137,015506,18.0,20250121,20250218
W SUL DIST E IMP DE,08111865000137,015506,6.0,20250122,20250218
MB DISTRIBUIDORA,06752049000268,015506,12.0,20250122,20250130
LM MOTO,70963418000341,015506,6.0,20250328,        
LM MOTO,70963418000341,015550,6.0,20250107,20250211
W SUL DIST E IMP DE,08111865000137,015550,6.0,20250107,20250218
MB DISTRIBUIDORA,06752049000268,015550,6.0,20250107,20250317
LM MOTO,70963418000341,015571,36.0,20250124,20250211
LM MOTO,70963418000341,015571,12.0,20250328,        
W.CO LOGISTICA EM DU,19246547000108,015571,6.0,20250124,20250219
W SUL DIST E IMP DE,08111865000137,015571,6.0,20250328,        
MB DISTRIBUIDORA,06752049000268,015571,6.0,20250328,20250401
W.SP LOGISTICA,11247454000188,015571,6.0,20250328,        
W.SP LOGISTICA,11247454000188,015571,6.0,20250124,20250214
LM MOTO,70963418000341,015571,24.0,20250328,        
W. NORTE,51050054000364,015571,6.0,20250328,        
W SUL DIST E IMP DE,08111865000137,015571,30.0,20250124,20250218
MB DISTRIBUIDORA,06752049000268,015571,18.0,20250124,20250320
W SUL DIST E IMP DE,08111865000137,015571,6.0,20250328,        
W.SP LOGISTICA,11247454000188,015571,6.0,20250328,        
W. NORDESTE,22101582000135,015571,6.0,20250124,20250210
W. NORDESTE,22101582000135,015571,6.0,20250328,        
W SUL DIST E IMP DE,08111865000137,016218,10.0,20250313,20250314
W SUL DIST E IMP DE,08111865000137,016228,10.0,20250313,20250314
MB DISTRIBUIDORA,06752049000268,014325,25.0,20250207,20250211
W SUL DIST E IMP DE,08111865000137,014325,50.0,20250311,20250314
W.SP LOGISTICA,11247454000188,014325,50.0,20250311,20250311
W SUL DIST E IMP DE,08111865000137,014325,25.0,20250207,20250218
W.CO LOGISTICA EM DU,19246547000108,014325,50.0,20250311,20250318
W.SP LOGISTICA,11247454000188,014325,50.0,20250207,20250214
LM MOTO,70963418000341,014326,10.0,20250109,20250110
LM MOTO,70963418000341,014326,50.0,20250311,20250319
W.SP LOGISTICA,11247454000188,014326,50.0,20250311,20250311
W.SP LOGISTICA,11247454000188,014326,50.0,20250311,20250311
W SUL DIST E IMP DE,08111865000137,014326,50.0,20250311,20250314
MB DISTRIBUIDORA,06752049000268,014326,50.0,20250311,20250311
W. NORDESTE,22101582000135,014328,50.0,20250311,20250312
W.SP LOGISTICA,11247454000188,014328,50.0,20250311,20250311
MB DISTRIBUIDORA,06752049000268,014328,50.0,20250110,20250114
MB DISTRIBUIDORA,06752049000268,014328,24.0,20250130,20250203
W. NORDESTE,22101582000135,014425,10.0,20250107,20250116
W. NORDESTE,22101582000135,014425,20.0,20250220,20250224
LM MOTO,70963418000341,014425,10.0,20250107,20250110
W.SP LOGISTICA,11247454000188,014425,20.0,20250107,20250110
W SUL DIST E IMP DE,08111865000137,014425,10.0,20250107,20250116
W.CO LOGISTICA EM DU,19246547000108,014425,10.0,20250219,20250219
W.SP LOGISTICA,11247454000188,014425,20.0,20250220,20250221
W.SP LOGISTICA,11247454000188,014425,30.0,20250220,20250221
MB DISTRIBUIDORA,06752049000268,014425,10.0,20250107,20250108
MB DISTRIBUIDORA,06752049000268,014425,20.0,20250220,20250220
MB DISTRIBUIDORA,06752049000268,014425,10.0,20250220,20250224
MB DISTRIBUIDORA,06752049000268,015298,600.0,20250228,20250306
W.SP LOGISTICA,11247454000188,015298,700.0,20250228,20250311
MB DISTRIBUIDORA,06752049000268,015298,200.0,20250228,20250306
W.CO LOGISTICA EM DU,19246547000108,015304,50.0,20250305,        
W. NORDESTE,22101582000135,015304,5.0,20250109,20250116
W SUL DIST E IMP DE,08111865000137,015304,50.0,20250312,        
W. NORTE,51050054000364,015304,10.0,20250109,20250114
W. NORTE,51050054000364,015304,25.0,20250130,20250228
W SUL DIST E IMP DE,08111865000137,015304,10.0,20250116,20250128
W.SP LOGISTICA,11247454000188,015304,100.0,20250228,20250311
MB DISTRIBUIDORA,06752049000268,015304,20.0,20250110,20250114
MB DISTRIBUIDORA,06752049000268,015304,50.0,20250228,20250306
LM MOTO,70963418000341,013289,300.0,20250228,20250306
W. NORDESTE,22101582000135,013289,200.0,20250228,20250312
W. NORDESTE,22101582000135,013289,200.0,20250305,20250320
W.SP LOGISTICA,11247454000188,013289,800.0,20250228,20250321
MB DISTRIBUIDORA,06752049000268,013289,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013385,57.0,20250324,20250328
LM MOTO,70963418000341,013385,2.0,20250107,        
LM MOTO,70963418000341,013385,15.0,20250324,20250402
W.CO LOGISTICA EM DU,19246547000108,013385,13.0,20250324,20250327
MB DISTRIBUIDORA,06752049000268,013385,100.0,20250324,20250327
MB DISTRIBUIDORA,06752049000268,013385,11.0,20250324,20250327
W SUL DIST E IMP DE,08111865000137,013385,13.0,20250324,20250331
W SUL DIST E IMP DE,08111865000137,013385,62.0,20250324,20250331
W. NORTE,51050054000364,013385,1.0,20250324,20250403
W. NORTE,51050054000364,013385,2.0,20250324,20250403
W.SP LOGISTICA,11247454000188,013385,12.0,20250324,20250328
MB DISTRIBUIDORA,06752049000268,013385,2.0,20250107,        
W. NORDESTE,22101582000135,013385,27.0,20250324,20250328
LM MOTO,70963418000341,013385,75.0,20250324,20250325
W.CO LOGISTICA EM DU,19246547000108,013385,65.0,20250324,20250327
W. NORDESTE,22101582000135,013385,90.0,20250324,20250328
W. NORDESTE,22101582000135,013505,50.0,20250311,20250312
W.CO LOGISTICA EM DU,19246547000108,013515,300.0,20250207,20250219
W. NORTE,51050054000364,013515,300.0,20250311,20250319
W.SP LOGISTICA,11247454000188,013515,2100.0,20250207,20250214
W. NORDESTE,22101582000135,013515,2400.0,20250207,20250210
W SUL DIST E IMP DE,08111865000137,013515,900.0,20250207,20250218
W.CO LOGISTICA EM DU,19246547000108,013515,300.0,20250311,20250318
W.SP LOGISTICA,11247454000188,013515,300.0,20250311,20250311
W SUL DIST E IMP DE,08111865000137,013515,300.0,20250311,20250314
MB DISTRIBUIDORA,06752049000268,013515,1500.0,20250207,20250211
MB DISTRIBUIDORA,06752049000268,013564,5.0,20250211,20250217
W.SP LOGISTICA,11247454000188,015439,20.0,20250107,20250110
LM MOTO,70963418000341,015439,10.0,20250107,20250110
W. NORDESTE,22101582000135,015439,10.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,015439,10.0,20250107,20250116
W.SP LOGISTICA,11247454000188,015439,10.0,20250122,20250124
W.SP LOGISTICA,11247454000188,015439,20.0,20250204,20250204
W.SP LOGISTICA,11247454000188,015439,10.0,20250325,20250328
MB DISTRIBUIDORA,06752049000268,015439,10.0,20250211,20250217
W SUL DIST E IMP DE,08111865000137,015467,10.0,20250117,20250128
W.CO LOGISTICA EM DU,19246547000108,015467,10.0,20250117,20250127
W SUL DIST E IMP DE,08111865000137,015492,6.0,20250107,20250218
W SUL DIST E IMP DE,08111865000137,015492,6.0,20250307,20250314
W. NORTE,51050054000364,015499,6.0,20250122,20250228
W.SP LOGISTICA,11247454000188,015499,6.0,20250328,        
W. NORDESTE,22101582000135,015499,6.0,20250121,20250210
W. NORDESTE,22101582000135,015499,18.0,20250124,20250210
W SUL DIST E IMP DE,08111865000137,015499,6.0,20250122,20250218
